"conf	repacc	prova	specie	comprensorio	sex	age	prelievo	riserva	altitudine	statoc	sintomi	numcamp	identif	esito	esito2	esito3	finalita	mp	pr	comune	localita	anno	mese	dtprel"
"179495	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 2: > 25 mesi \ > 2 anni	da piani di abbattimento - abbattuto	Riserva	NULL	Fresco	NULL	2	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Torricella del Pizzo	LOC. LANCA GEROLE	2018	6	2018-06-30 00:00:00.000"
"179525	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	2	TESTA	P	Rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	LOC. VALLONI-AZ. PALAZZO	2018	6	2018-06-30 00:00:00.000"
"181063	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	5	testa	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	San Daniele Po	AZ SOLDI	2018	7	2018-07-02 00:00:00.000"
"181494	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	4	testa	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Torricella del Pizzo	LANCA GEROLE-AZ. FORONI	2018	7	2018-07-03 00:00:00.000"
"111839	Sede Territoriale di Sondrio	Brucella spp.: agente eziologico	CAPRIOLO	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	SO	Valfurva	Loc. Resamoga	2018	4	2018-04-22 00:00:00.000"
"170459	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	2	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA	2018	6	2018-06-20 00:00:00.000"
"185109	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	2	TESTA 	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA-AZ.PALAZZO	2018	7	2018-07-06 00:00:00.000"
"187276	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	NULL	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	2	TESTA	P	Rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Motta Baluffi	AZ. BOSCONE	2018	7	2018-07-09 00:00:00.000"
"187296	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	2	TESTA	P	Rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Motta Baluffi	AZ. BOSCONE	2018	7	2018-07-09 00:00:00.000"
"187310	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	2	TESTA	P	Rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Motta Baluffi	AZ. BOSCONE	2018	7	2018-07-09 00:00:00.000"
"175232	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	4	MILZA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA-AZ.PALAZZO	2018	6	2018-06-26 00:00:00.000"
"175232	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	5	TESTICOLI	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA-AZ.PALAZZO	2018	6	2018-06-26 00:00:00.000"
"189191	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	2	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	VALLONI	2018	7	2018-07-10 00:00:00.000"
"194694	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	2	LINFONODI SOTTOMANDIBOLARI	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	AZ.PALAZZO	2018	7	2018-07-14 00:00:00.000"
"194694	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	4	UTERO 	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	AZ.PALAZZO	2018	7	2018-07-14 00:00:00.000"
"201044	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	2	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA	2018	7	2018-07-19 00:00:00.000"
"184012	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	2	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA-AZ.PALAZZO	2018	7	2018-07-05 00:00:00.000"
"184024	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	2	TESTA 	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA-AZ.PALAZZO	2018	7	2018-07-05 00:00:00.000"
"213107	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 2: > 25 mesi \ > 2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	3	MILZA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA	2018	7	2018-07-31 00:00:00.000"
"213107	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 2: > 25 mesi \ > 2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	4	TESTICOLI	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA	2018	7	2018-07-31 00:00:00.000"
"222531	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	2	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA	2018	8	2018-08-08 00:00:00.000"
"225693	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	2	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Stagno Lombardo	AZ. FAUN. LA ZOPPA	2018	8	2018-08-09 00:00:00.000"
"187326	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	NULL	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	2	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA	2018	7	2018-07-09 00:00:00.000"
"189155	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	2	TESTA	P	Rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	AZ.PALAZZO	2018	7	2018-07-10 00:00:00.000"
"226826	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	2	TESTA	P	Rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Martignana di Po	LANCONE	2018	8	2018-08-12 00:00:00.000"
"231150	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	Parco  Serio	NULL	Fresco	NULL	2	testa	P	Rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA	2018	8	2018-08-17 00:00:00.000"
"237117	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	4	utero	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Martignana di Po	ISOLA MARIA LUIGIA	2018	8	2018-08-22 00:00:00.000"
"239363	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	CR - Ambito Territoriale di Caccia (A.T.C.) CR 4	F	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	4	testa	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Spinadesco	ca' vecchia	2018	8	2018-08-25 00:00:00.000"
"201780	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 2: > 25 mesi \ > 2 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	2	LINFONODI	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Stagno Lombardo	AZ. LA PIOPPA	2018	7	2018-07-21 00:00:00.000"
"213107	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 2: > 25 mesi \ > 2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	2	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA	2018	7	2018-07-31 00:00:00.000"
"226793	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	CR - Ambito Territoriale di Caccia (A.T.C.) CR 1	F	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	3	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	VALLONI	2018	8	2018-08-10 00:00:00.000"
"226819	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	3	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Martignana di Po	LANCONE	2018	8	2018-08-12 00:00:00.000"
"243563	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 2: > 25 mesi \ > 2 anni	da piani di abbattimento - abbattuto	Oasi faunistica	NULL	Fresco	NULL	2	LINFONODI SOTTOMANDIBOLARI	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Torricella del Pizzo	LANCA GEROLE	2018	8	2018-08-28 00:00:00.000"
"246754	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	2	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	AZ. PALAZZO	2018	8	2018-08-30 00:00:00.000"
"246796	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 2: > 25 mesi \ > 2 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	2	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	AZ. PALAZZO	2018	8	2018-08-30 00:00:00.000"
"247719	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	CR - Ambito Territoriale di Caccia (A.T.C.) CR 1	M	Cl 2: > 25 mesi \ > 2 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	2	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Martignana di Po	VALLONI	2018	8	2018-08-31 00:00:00.000"
"248016	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	2	LINFONODI SOTTOMANDIBOLARI	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	San Daniele Po	AZ. SOLDI	2018	9	2018-09-01 00:00:00.000"
"256670	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	CR - Ambito Territoriale di Caccia (A.T.C.) CR 1	M	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	2	MILZA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	VALLONI	2018	9	2018-09-07 00:00:00.000"
"273436	Sede Territoriale di Sondrio	Brucella spp.: agente eziologico	STAMBECCO	BS - Comprensorio Alpino (C.A.) 2 Edolo	M	Cl 4: >133 mesi \ > 11 anni	trovato morto	NULL	2500 slm	Fresco	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	BS	Saviore dell'Adamello	Loc. Passo Poia	2018	9	2018-09-19 00:00:00.000"
"284675	Sede Territoriale di Mantova	Brucella spp.: agente eziologico	CINGHIALE	MN - Ambito Territoriale di Caccia (A.T.C.) MN 4	M	NULL	trovato morto	NULL	NULL	Fresco	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	MN	Borgo Virgilio	S.S.Cisa- pressi Ipercoop - ATC 4       	2018	10	2018-10-01 00:00:00.000"
"302964	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 2: > 25 mesi \ > 2 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	3	MILZA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Torricella del Pizzo	LANCA GEROLE	2018	10	2018-10-11 00:00:00.000"
"347854	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	LEPRE	NULL	NULL	Adulto	trovato morto	Altro	NULL	Fresco	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Casaletto Ceredano	LOC.PILETTA	2018	11	2018-11-13 00:00:00.000"
"23199	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	3	MILZA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Torricella del Pizzo	LANCA GEROLE	2019	1	2019-01-18 00:00:00.000"
"67931	Sede Territoriale di Pavia	Brucella spp.: agente eziologico	LEPRE	PV - Ambito Territoriale di Caccia (A.T.C.) 3 Pavese	NULL	NULL	trovato morto	NULL	NULL	Fresco	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	PV	Pavia	TANGEN. TRA ROT. RISO SCOTTI E ROT. CURA	2019	2	2019-02-25 00:00:00.000"
"68595	Sede Territoriale di Sondrio	Brucella spp.: agente eziologico	STAMBECCO	SO - Comprensorio Alpino (C.A.) Alta Valtellina	F	Cl 4: >133 mesi \ > 11 anni	altro	NULL	NULL	Fresco	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	SO	Livigno	Pila	2019	2	2019-02-25 00:00:00.000"
"403409	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	2	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Martignana di Po	ISOLA MARIA LUIGIA	2019	11	2019-11-20 00:00:00.000"
"403409	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	4	TESTICOLI	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Martignana di Po	ISOLA MARIA LUIGIA	2019	11	2019-11-20 00:00:00.000"
"411277	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 1: 13-24 mesi \ 1-2 anni	altro	NULL	NULL	Fresco	NULL	2	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Torricella del Pizzo	SP 85 RADAR	2019	11	2019-11-26 00:00:00.000"
"450584	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 2: > 25 mesi \ > 2 anni	altro	NULL	NULL	Fresco	NULL	4	TESTICOLI	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	San Giovanni in Croce	SS 343 CANOVEZZA	2019	12	2019-12-20 00:00:00.000"
"310672	Sede Territoriale di Mantova	Brucella spp.: agente eziologico	CINGHIALE	MN - Ambito Territoriale di Caccia (A.T.C.) MN 3	M	Cl 2: > 25 mesi \ > 2 anni	altro	NULL	NULL	Fresco	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	MN	Rivarolo Mantovano	SP N°64 - Loc.Mattarona- ATC 3          	2020	10	2020-10-05 00:00:00.000"
"135993	Sede Territoriale di Sondrio	Brucella spp.: agente eziologico	LEPRE	SO -Comprensorio Alpino (C.A.) Tirano	NULL	Adulto	trovato morto	NULL	NULL	Fresco	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	SO	Sernio	S. Gottardo	2021	4	2021-04-21 00:00:00.000"
"204400	Sede Territoriale di Sondrio	Brucella spp.: agente eziologico	STAMBECCO	SO - Comprensorio Alpino (C.A.) Sondrio	F	Cl 3: 37-132 mesi \ 4-11 anni	trovato morto	NULL	2200	Fresco	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	SO	Chiesa in Valmalenco	Loc. Furà	2021	6	2021-06-12 00:00:00.000"
"948	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 1: 13-24 mesi \ 1-2 anni	Abbattuto (Sorveglianza attiva)	NULL	NULL	Fresco	NULL	3	MILZA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Torricella del Pizzo	SCOTTINE	2021	12	2021-12-31 00:00:00.000"
"112147	Sede Territoriale di Sondrio	Brucella spp.: agente eziologico	CAPRIOLO	SO - Comprensorio Alpino (C.A.) Chiavenna	F	NULL	Trovato morto (Sorveglianza passiva)	NULL	1400	Fresco	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	SO	Campodolcino	Fraciscio	2022	4	2022-04-02 00:00:00.000"
"241207	Sede Territoriale di Brescia	Brucella abortus/melitensis/suis: anticorpi	CINGHIALE	BS - Comprensorio Alpino (C.A.) 7 Valle Sabbia	F	NULL	Abbattuto (Sorveglianza attiva)	NULL	NULL	Fresco	NULL	1	NULL	N	Negativo	NULL	Monitoraggio fauna selvatica Lombardia	MP 04/125 rev. 1	BS	Idro	Località Camogne	2022	7	2022-07-19 00:00:00.000"
"241217	Sede Territoriale di Brescia	Brucella abortus/melitensis/suis: anticorpi	CINGHIALE	BS - Ambito Territoriale di Caccia (A.T.C.) Unico	M	NULL	Abbattuto (Sorveglianza attiva)	NULL	NULL	Fresco	NULL	1	NULL	N	Negativo	NULL	Monitoraggio fauna selvatica Lombardia	MP 04/125 rev. 1	BS	Brescia	VIA ORZINUOVI 94	2022	7	2022-07-12 00:00:00.000"
"241230	Sede Territoriale di Brescia	Brucella abortus/melitensis/suis: anticorpi	CINGHIALE	BS - Ambito Territoriale di Caccia (A.T.C.) Unico	M	Cl 2: > 25 mesi \ > 2 anni	Abbattuto (Sorveglianza attiva)	NULL	NULL	Fresco	NULL	1	NULL	N	Negativo	NULL	Monitoraggio fauna selvatica Lombardia	MP 04/125 rev. 1	BS	Capriolo	Loc. Colzano	2022	7	2022-07-16 00:00:00.000"
"241245	Sede Territoriale di Brescia	Brucella abortus/melitensis/suis: anticorpi	CINGHIALE	BS - Ambito Territoriale di Caccia (A.T.C.) Unico	F	Cl 2: > 25 mesi \ > 2 anni	Abbattuto (Sorveglianza attiva)	NULL	NULL	Fresco	NULL	1	NULL	N	Negativo	NULL	Monitoraggio fauna selvatica Lombardia	MP 04/125 rev. 1	BS	Iseo	Loc. 	2022	7	2022-07-17 00:00:00.000"
